,dataset,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,ada_boost_tag,desicition_tree_tag,gaussian_nb_tag,gaussian_process_tag,logistic_regression_tag,mlp_tag,random_forest_tag,ADEN AUC average
0,CBF_edited,0.42688429975000003,0.445390092125,0.47588163650000004,0.4770870865,0.47219856775,0.474843191375,0.482599064875,0.316910324125,0.269963068375,0.29206475950000005,0.27690665062500003,0.280430496875,0.28385536487499996,0.29837881475,0.420895427875
1,ChlorineConcentration_edited,0.399949801625,0.412961076,0.28676440987499996,0.36208448800000004,0.420251353125,0.413275240375,0.468110128875,0.243287838,0.233070233125,0.21763698187499997,0.232421236875,0.217961023625,0.231458849875,0.219667294875,0.24598419062500002
2,GesturePebbleZ1_edited,0.328498208625,0.357600330875,0.33052963575,0.25,0.37665172700000005,0.427275632625,0.43715273424999995,0.1745135925,0.244114630625,0.25070951575,0.25,0.195574761625,0.19854249275000002,0.19343777574999999,0.031773419
3,GesturePebbleZ2_edited,0.349565338125,0.328461025375,0.330701475125,0.25,0.366128431,0.424550164625,0.378923513125,0.262771237125,0.24636192325,0.27005840187499996,0.25,0.305728881375,0.292487487375,0.24693936924999998,0.18032992325000002
4,InsectEPGRegularTrain_mixed_edited,0.490234375,0.490234375,0.490234375,0.5,0.5,0.5,0.490234375,0.335957089625,0.30723949149999996,0.35236654475,0.3351798335,0.355750856,0.326340849,0.298588396875,0.41177506500000005
5,MixedShapesRegularTrain_mixed_edited,0.42611437124999996,0.4248408345,0.421506090375,0.471638617375,0.44299196500000004,0.46956041475,0.467554221625,0.32143623112499997,0.27870777775,0.286250742125,0.2941824395,0.30992910525,0.31139614925,0.31551354774999996,0.2419933575
